iter	Passed	Remaining
0	0	561
1	0	487
2	1	477
3	1	456
4	2	442
5	2	435
6	3	426
7	3	425
8	3	418
9	4	414
10	4	410
11	4	409
12	5	406
13	5	407
14	6	405
15	6	403
16	6	403
17	7	402
18	7	401
19	8	400
20	8	399
21	8	397
22	9	396
23	9	395
24	10	393
25	10	391
26	10	394
27	11	394
28	11	393
29	12	391
30	12	390
31	12	388
32	13	388
33	13	387
34	14	386
35	14	386
36	14	386
37	15	385
38	15	384
39	16	384
40	16	385
41	16	384
42	17	384
43	17	384
44	18	383
45	18	382
46	18	381
47	19	380
48	19	379
49	20	380
50	20	379
51	20	378
52	21	378
53	21	377
54	21	377
55	22	377
56	22	377
57	23	377
58	23	376
59	24	377
60	24	377
61	24	377
62	25	379
63	26	380
64	26	380
65	26	380
66	27	380
67	27	380
68	28	380
69	28	380
70	29	379
71	29	379
72	29	379
73	30	378
74	30	378
75	31	377
76	31	377
77	31	377
78	32	376
79	32	375
80	33	375
81	33	375
82	33	372
83	34	372
84	34	372
85	35	372
86	35	372
87	35	372
88	36	371
89	36	371
90	37	370
91	37	369
92	37	369
93	38	369
94	38	368
95	39	367
96	39	367
97	39	367
98	40	366
99	40	367
100	41	366
101	41	366
102	42	365
103	42	365
104	42	364
105	43	364
106	43	364
107	44	364
108	44	363
109	44	363
110	45	363
111	45	362
112	46	362
113	46	361
114	46	361
115	47	360
116	47	359
117	47	358
118	48	358
119	48	357
120	49	356
121	49	355
122	49	355
123	50	354
124	50	354
125	51	353
126	51	353
127	51	352
128	52	352
129	52	352
130	53	352
131	53	351
132	53	351
133	54	350
134	54	350
135	55	350
136	55	350
137	56	350
138	56	350
139	56	349
140	57	349
141	57	348
142	58	347
143	58	347
144	58	347
145	59	346
146	59	346
147	60	346
148	60	345
149	60	345
150	61	344
151	61	344
152	62	344
153	62	343
154	62	343
155	63	342
156	63	342
157	64	341
158	64	341
159	64	341
160	65	339
161	65	340
162	66	339
163	66	339
164	66	338
165	67	338
166	67	338
167	68	337
168	68	337
169	68	336
170	69	336
171	69	336
172	70	335
173	70	334
174	70	334
175	71	335
176	72	335
177	72	335
178	73	335
179	73	335
180	74	335
181	74	335
182	75	334
183	75	334
184	75	333
185	76	332
186	76	332
187	76	331
188	77	331
189	77	330
190	78	330
191	78	329
192	78	329
193	79	328
194	79	328
195	79	327
196	80	327
197	80	326
198	80	325
199	81	325
200	81	324
201	82	324
202	82	323
203	82	323
204	83	322
205	83	322
206	83	321
207	84	320
208	84	320
209	84	319
210	85	319
211	85	319
212	86	318
213	86	318
214	87	318
215	87	318
216	88	317
217	88	317
218	88	316
219	89	315
220	89	315
221	89	314
222	90	314
223	90	313
224	90	313
225	91	312
226	91	312
227	92	311
228	92	311
229	92	310
230	93	310
231	93	309
232	93	309
233	94	308
234	94	308
235	94	307
236	95	306
237	95	306
238	96	305
239	96	305
240	96	304
241	97	304
242	97	303
243	97	303
244	98	302
245	98	302
246	98	301
247	99	301
248	99	300
249	100	300
250	100	299
251	100	299
252	101	298
253	101	298
254	102	298
255	102	297
256	102	297
257	103	296
258	103	296
259	103	295
260	104	295
261	104	294
262	105	294
263	105	293
264	105	293
265	106	292
266	106	292
267	106	291
268	107	291
269	107	290
270	107	290
271	108	289
272	108	289
273	109	288
274	109	288
275	109	287
276	110	287
277	110	286
278	110	286
279	111	285
280	111	285
281	111	284
282	112	284
283	112	283
284	112	283
285	113	282
286	113	282
287	114	282
288	114	282
289	114	281
290	115	281
291	115	280
292	116	280
293	116	279
294	116	279
295	117	279
296	117	278
297	118	278
298	118	277
299	118	277
300	119	276
301	119	276
302	119	276
303	120	275
304	120	275
305	121	274
306	121	274
307	121	273
308	122	273
309	122	272
310	122	272
311	123	271
312	123	271
313	123	270
314	124	270
315	124	269
316	125	269
317	125	269
318	125	268
319	126	268
320	126	267
321	126	267
322	127	266
323	127	266
324	128	266
325	128	265
326	128	265
327	129	264
328	129	264
329	129	263
330	130	263
331	130	262
332	131	262
333	131	262
334	131	261
335	132	261
336	132	260
337	132	260
338	133	260
339	133	259
340	134	259
341	134	258
342	134	258
343	135	257
344	135	257
345	135	256
346	136	256
347	136	255
348	136	255
349	137	255
350	137	254
351	138	254
352	138	253
353	138	253
354	139	252
355	139	252
356	139	251
357	140	251
358	140	250
359	141	251
360	141	250
361	142	250
362	142	249
363	142	249
364	143	249
365	143	248
366	143	248
367	144	247
368	144	247
369	145	247
370	145	246
371	145	246
372	146	245
373	146	245
374	147	245
375	147	244
376	147	244
377	148	244
378	148	243
379	149	243
380	149	243
381	150	242
382	150	242
383	150	241
384	151	241
385	151	241
386	152	241
387	152	240
388	153	240
389	153	240
390	153	239
391	154	239
392	154	238
393	155	238
394	155	238
395	155	237
396	156	237
397	156	237
398	157	236
399	157	236
400	158	236
401	158	235
402	159	235
403	159	235
404	159	235
405	160	234
406	160	234
407	161	233
408	161	233
409	161	233
410	162	232
411	162	232
412	163	231
413	163	231
414	164	231
415	164	231
416	164	230
417	165	230
418	165	229
419	166	229
420	166	229
421	167	228
422	167	228
423	167	228
424	168	227
425	168	227
426	169	227
427	169	226
428	170	226
429	170	226
430	170	225
431	171	225
432	171	224
433	172	224
434	172	224
435	172	223
436	173	223
437	173	222
438	174	222
439	174	222
440	174	221
441	175	221
442	175	220
443	176	220
444	176	220
445	176	219
446	177	219
447	177	218
448	178	218
449	178	218
450	179	217
451	179	217
452	179	217
453	180	216
454	180	216
455	180	215
456	181	215
457	181	215
458	182	214
459	182	214
460	183	213
461	183	213
462	183	213
463	184	212
464	184	212
465	184	211
466	185	211
467	185	211
468	186	210
469	186	210
470	186	209
471	187	209
472	187	209
473	188	208
474	188	208
475	188	207
476	189	207
477	189	207
478	189	206
479	190	206
480	190	205
481	191	205
482	191	204
483	191	204
484	192	204
485	192	203
486	192	203
487	193	202
488	193	202
489	194	202
490	194	201
491	195	201
492	195	200
493	195	200
494	196	200
495	196	199
496	196	199
497	197	198
498	197	198
499	198	198
500	198	197
501	198	197
502	199	196
503	199	196
504	200	196
505	200	195
506	200	195
507	201	194
508	201	194
509	201	194
510	202	193
511	202	193
512	203	192
513	203	192
514	204	192
515	204	191
516	204	191
517	205	191
518	205	190
519	206	190
520	206	189
521	206	189
522	207	189
523	207	188
524	208	188
525	208	187
526	208	187
527	209	187
528	209	186
529	210	186
530	210	185
531	210	185
532	211	185
533	211	184
534	212	184
535	212	184
536	213	183
537	213	183
538	213	182
539	214	182
540	214	182
541	214	181
542	215	181
543	215	180
544	216	180
545	216	179
546	216	179
547	217	179
548	217	178
549	218	178
550	218	178
551	219	177
552	219	177
553	220	177
554	220	176
555	220	176
556	221	175
557	221	175
558	221	175
559	222	174
560	222	174
561	223	173
562	223	173
563	223	173
564	224	172
565	224	172
566	225	172
567	225	171
568	226	171
569	226	171
570	227	170
571	227	170
572	227	169
573	228	169
574	228	169
575	229	168
576	229	168
577	229	167
578	230	167
579	230	167
580	231	166
581	231	166
582	231	165
583	232	165
584	232	165
585	233	164
586	233	164
587	233	163
588	234	163
589	234	163
590	235	162
591	235	162
592	235	161
593	236	161
594	236	160
595	236	160
596	237	160
597	237	159
598	238	159
599	238	158
600	238	158
601	239	158
602	239	157
603	240	157
604	240	157
605	241	156
606	241	156
607	241	156
608	242	155
609	242	155
610	243	154
611	243	154
612	244	154
613	244	153
614	244	153
615	245	152
616	245	152
617	245	152
618	246	151
619	246	151
620	247	150
621	247	150
622	247	150
623	248	149
624	248	149
625	249	148
626	249	148
627	250	148
628	250	147
629	250	147
630	251	146
631	251	146
632	251	146
633	252	145
634	252	145
635	253	144
636	253	144
637	253	144
638	254	143
639	254	143
640	255	142
641	255	142
642	256	142
643	256	141
644	257	141
645	257	141
646	257	140
647	258	140
648	258	139
649	259	139
650	259	139
651	259	138
652	260	138
653	260	137
654	261	137
655	261	137
656	261	136
657	262	136
658	262	135
659	262	135
660	263	135
661	263	134
662	264	134
663	264	133
664	264	133
665	265	133
666	265	132
667	266	132
668	266	131
669	266	131
670	267	131
671	267	130
672	268	130
673	268	129
674	268	129
675	269	129
676	269	128
677	269	128
678	270	127
679	270	127
680	271	127
681	271	126
682	271	126
683	272	125
684	272	125
685	273	125
686	273	124
687	273	124
688	274	123
689	274	123
690	275	123
691	275	122
692	275	122
693	276	121
694	276	121
695	277	121
696	277	120
697	277	120
698	278	119
699	278	119
700	279	119
701	279	118
702	279	118
703	280	117
704	280	117
705	281	117
706	281	116
707	281	116
708	282	115
709	282	115
710	283	115
711	283	114
712	283	114
713	284	113
714	284	113
715	285	113
716	285	112
717	286	112
718	286	112
719	287	111
720	287	111
721	287	110
722	288	110
723	288	110
724	289	109
725	289	109
726	289	108
727	290	108
728	290	108
729	290	107
730	291	107
731	291	106
732	292	106
733	292	106
734	292	105
735	293	105
736	293	104
737	294	104
738	294	104
739	294	103
740	295	103
741	295	102
742	296	102
743	296	101
744	296	101
745	297	101
746	297	100
747	297	100
748	298	99
749	298	99
750	299	99
751	299	98
752	299	98
753	300	97
754	300	97
755	301	97
756	301	96
757	302	96
758	302	96
759	302	95
760	303	95
761	303	94
762	304	94
763	304	94
764	304	93
765	305	93
766	305	92
767	305	92
768	306	92
769	306	91
770	307	91
771	307	90
772	307	90
773	308	90
774	308	89
775	309	89
776	309	88
777	309	88
778	310	88
779	310	87
780	311	87
781	311	86
782	311	86
783	312	86
784	312	85
785	313	85
786	313	84
787	313	84
788	314	84
789	314	83
790	315	83
791	315	82
792	315	82
793	316	82
794	316	81
795	317	81
796	317	80
797	317	80
798	318	80
799	318	79
800	319	79
801	319	78
802	319	78
803	320	78
804	320	77
805	321	77
806	321	76
